date,strategy,spy
2020-10-21,124027.1195877041,132939.84271016513
2020-10-22,124674.35860565279,133669.08350775717
2020-10-23,125189.56799950579,134122.88129478903
2020-10-26,122069.87906517381,131644.34114019104
2020-10-27,121495.9253906376,131190.47950452438
2020-10-28,115673.87557205497,126706.54311870699
2020-10-29,117445.8073710579,127994.33177359632
2020-10-30,115144.32371216989,126660.03577311311
2020-11-02,117910.24481851698,128079.6718588802
2020-11-03,120812.20412508011,130341.03726704347
2020-11-04,120161.5724353882,133254.02907232658
2020-11-05,122909.54278021262,135852.87282462913
2020-11-06,122906.4015789789,135821.85515783957
2020-11-09,125711.79794032733,137528.52916624793
2020-11-10,127107.98863535696,137326.84409861753
2020-11-11,126912.74285274299,138347.00481584712
2020-11-12,124950.3026886545,137004.88097273652
2020-11-13,127086.43919552259,138901.6451366942
2020-11-16,129182.73799130677,140635.5186635306
2020-11-17,128178.67887716233,139879.11665669136
2020-11-18,127000.7050779453,138195.70909080695
2020-11-19,126808.95574607005,138777.54893008206
2020-11-20,126401.29213346161,137827.18754042414
2020-11-23,127300.75634859526,138653.41441428903
2020-11-24,129054.7367170228,140887.60584347814
2020-11-25,128611.11802554084,140670.4055575895
2020-11-27,128255.34276819689,141062.16801104223
2020-11-30,125678.14517981869,140437.6772837156
2020-12-01,126241.45701823618,141973.72220046402
2020-12-02,127249.20907720672,142272.38057464026
2020-12-03,127130.63068557117,142233.5733744042
2020-12-04,129335.49630775569,143459.3266957144
2020-12-07,128086.4099309163,143164.49923962663
2020-12-08,128871.7645046618,143583.42290232654
2020-12-09,129030.8531835695,142295.65978689113
2020-12-10,129479.53584366279,142249.11413211637
2020-12-11,129073.35817693212,142082.26487963702
2020-12-14,127529.77811739616,141446.15370077544
2020-12-15,128769.5386694509,143358.4203132644
2020-12-16,128349.56464917607,143583.42290232654
2020-12-17,128459.76826259491,144386.3450244866
2020-12-18,127921.8226748737,143809.83016135445
2020-12-21,127102.29989639253,143295.63156579455
2020-12-22,126366.81790937933,143054.13048949811
2020-12-23,127281.00905146095,143182.68333081983
2020-12-24,127143.12395249809,143739.72436033565
2020-12-28,127043.05301525521,144974.54418778853
2020-12-29,126573.02998050551,144698.00298070966
2020-12-30,127327.93865221464,144904.42561704278
2020-12-31,127306.36998222272,145640.6769947367
2021-01-04,126276.04240780894,143657.8831802392
2021-01-05,128082.52704038835,144647.33270412634
2021-01-06,130166.7137427912,145512.124153415
2021-01-07,130934.20866259681,147674.06446745576
2021-01-08,130785.62687282356,148515.43623749702
2021-01-11,131266.14427811003,147514.327952894
2021-01-12,132900.47796354152,147545.48608668015
2021-01-13,132244.15973502805,147942.86721999597
2021-01-14,133408.48663585025,147424.7738577128
2021-01-15,131409.1382405137,146349.62669618687
2021-01-19,132261.2476849465,147498.74888600095
2021-01-20,132657.54969030406,149539.95143162046
2021-01-21,131093.5116191783,149676.28103666176
2021-01-22,130673.72552954846,149146.51614393576
